STT,intent,question,answer,loai_muc_dich,chu_de_thong_bao
TB_746,muc_dich,"Theo Thông báo số 746, giảng viên có được phản ánh khiếu nại về thống kê nhiệm vụ không?","Theo Thông báo số 746 ban hành ngày 9/7/2024, từ ngày 10/8/2024 đến hết ngày 15/8/2024, các đơn vị và cá nhân có thể kiểm tra, phản ánh các khiếu nại về dữ liệu đã công khai; sau thời gian này, mọi khiếu nại sẽ không được giải quyết. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,muc_dich,"Theo Thông báo số 746, định mức giờ chuẩn giảng dạy của giảng viên căn cứ theo văn bản nào?","Theo Thông báo số 746 ban hành ngày 9/7/2024, định mức giờ chuẩn giảng dạy của giảng viên căn cứ theo Quyết định số 2004/QĐ-ĐHBD ngày 26/7/2019 về Quy định chế độ làm việc đối với giảng viên cơ hữu của Trường Đại học Bình Dương. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,thoi_gian,"Theo Thông báo số 746, ai là người ký ban hành kế hoạch thống kê nhiệm vụ giảng viên cơ hữu năm học 2023–2024?","Theo Thông báo số 746 ban hành ngày 9/7/2024, người ký ban hành kế hoạch thống kê nhiệm vụ giảng viên cơ hữu năm học 2023–2024 là Phó Hiệu trưởng Thường trực – bà Đỗ Đoan Trang. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,dia_diem,"Theo Thông báo số 746, ai chịu trách nhiệm cung cấp danh sách lãnh đạo và giảng viên thực hiện nhiệm vụ cho Phòng Quản lý đào tạo và Công tác sinh viên?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Tổng hợp chịu trách nhiệm cung cấp danh sách lãnh đạo và giảng viên thực hiện nhiệm vụ giảng dạy, nghiên cứu khoa học và các nhiệm vụ khác cho Phòng Quản lý đào tạo và Công tác sinh viên, trước ngày 15/7/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,doi_tuong,"Theo Thông báo số 746, ai là người xác nhận nhiệm vụ nghiên cứu khoa học sau khi đối chiếu dữ liệu?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Quản lý khoa học và Quan hệ đối ngoại là đơn vị xác nhận nhiệm vụ nghiên cứu khoa học sau khi đối chiếu dữ liệu nhận từ Phòng Quản lý đào tạo và Công tác sinh viên, chậm nhất trước 16h00 ngày 31/7/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,hoc_phi,"Theo Thông báo số 746, đơn vị nào có trách nhiệm thanh toán và kiểm tra tài chính với trường hợp giảng viên vượt tiết hoặc thiếu tiết nghĩa vụ?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Tài chính – Kế toán chịu trách nhiệm kiểm tra, xác nhận số tiền thanh toán và tham mưu xử lý khắc phục với các trường hợp giảng viên không đủ tiết nghĩa vụ theo đúng quy định hiện hành. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,muc_dich,"Theo Thông báo số 746, giảng viên phải điền các nội dung gì trong biểu mẫu kê khai nhiệm vụ giảng dạy?","Theo Thông báo số 746 ban hành ngày 9/7/2024, giảng viên phải điền các thông tin về tên môn học, mã môn học, số tiết lý thuyết, số tiết thực hành, số lượng lớp, quy đổi ra giờ chuẩn trong phần kê khai nhiệm vụ giảng dạy. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,muc_dich,"Theo Thông báo số 746, giảng viên cần lưu ý gì về giờ nghĩa vụ nếu không kê khai đúng quy định?","Theo Thông báo số 746 ban hành ngày 9/7/2024, nếu giảng viên không kê khai đúng quy định thì số giờ không kê khai sẽ không được tính là giờ nghĩa vụ trong năm học 2023–2024. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_676,dia_diem,Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản nào?,Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương hiện đang nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III năm 2024). (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_676,dia_diem,Những ai được mời gửi bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 (Quý III/2024)?,"Các nhà khoa học, cán bộ nghiên cứu, giảng viên trong và ngoài Trường Đại học Bình Dương đều được mời gửi bài viết cho số xuất bản Vol.7 No.3 (Quý III/2024). (áp dụng từ 28/6/2024 đến 11/9/2024)",thong_bao,nghien_cuu_khoa_hoc
TB_676,dia_diem,Bài viết gửi cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 cần định dạng file như thế nào?,Định dạng chi tiết của file Word này cần tuân theo thể lệ được đăng trên trang web của Tạp chí tại địa chỉ: https://jst.bdu.edu.vn/index.php/jst/about/submissions. (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_676,dia_diem,Địa chỉ trang web nào cung cấp thể lệ gửi bài cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương?,Thể lệ gửi bài được đăng tải tại địa chỉ: https://jst.bdu.edu.vn/index.php/jst/about/submissions. (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_676,dia_diem,Tác giả gửi bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 qua email nào?,Tác giả gửi bài viết qua địa chỉ email: jst@bdu.edu.vn. (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_676,thoi_han_cuoi,Hạn cuối cùng nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 là ngày nào?,Hạn cuối nhận bài viết cho số xuất bản Vol.7 No.3 (Quý III/2024) là đến hết ngày 11/9/2024. (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_676,dia_diem,"Nếu có thắc mắc về việc gửi bài cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3, tôi có thể liên hệ với ai?",Tác giả có thể liên hệ Ban Biên tập qua email jst@bdu.edu.vn hoặc liên hệ ThS. Lưu Thanh Thảo Trâm – Phòng Quản lý Khoa học và Quan hệ Đối ngoại qua email lttram@bdu.edu.vn. (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_676,muc_dich,Số điện thoại liên hệ của ThS. Lưu Thanh Thảo Trâm là bao nhiêu?,Số điện thoại liên hệ là (+84) 274 3 871 387 hoặc 0868 508 373. (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_676,dia_diem,Thông báo về việc nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 được ký bởi ai và vào ngày nào?,Thông báo về việc nhận bài viết cho Tạp chí Khoa học và Công nghệ Trường Đại học Bình Dương Vol.7 No.3 được ký bởi: Phó hiệu trưởng Lê Văn Cường. (áp dụng từ 28/6/2024 đến 11/9/2024),thong_bao,nghien_cuu_khoa_hoc
TB_763,doi_tuong,"Theo Thông báo TB_763, đối tượng nào thuộc diện phải thực hiện khảo sát chất lượng đào tạo bổ sung tại Trường Đại học Bình Dương?","Dựa theo Thông báo ban hành ngày 14/08/2023, đối tượng khảo sát là sinh viên đại học chính quy chưa thực hiện khảo sát chất lượng đào tạo (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,thoi_gian,"Theo Thông báo TB_763, khảo sát chất lượng đào tạo bổ sung áp dụng cho các học kỳ và khóa nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, khảo sát áp dụng cho học kỳ 2 năm học 2022–2023 đối với khóa tuyển sinh năm 2021 trở về trước và học kỳ 3 năm học 2022–2023 đối với khóa tuyển sinh năm 2022 (đợt bổ sung). (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,thoi_gian,"Theo Thông báo TB_763, thời gian thực hiện khảo sát chất lượng đào tạo bổ sung là khi nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, thời gian thực hiện khảo sát bổ sung từ ngày 16/08/2023 (thứ Tư) đến ngày 18/08/2023 (thứ Sáu). (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,doi_tuong,"Theo Thông báo TB_763, sinh viên sẽ thực hiện khảo sát chất lượng đào tạo bằng hình thức nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên thực hiện khảo sát online tại Cổng thông tin sinh viên của Trường Đại học Bình Dương (sv.bdu.edu.vn). (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,muc_dich,"Theo Thông báo TB_763, sinh viên không thực hiện khảo sát chất lượng đào tạo sẽ bị ảnh hưởng như thế nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên không thực hiện khảo sát sẽ không xem được điểm học kỳ 2 và học kỳ 3 năm học 2022–2023 và sẽ bị trừ điểm rèn luyện theo Quy định đánh giá kết quả rèn luyện sinh viên. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,dia_diem,"Theo Thông báo TB_763, sinh viên gặp khó khăn khi đăng nhập để khảo sát thì cần liên hệ ở đâu?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên không đăng nhập được Cổng thông tin sinh viên để thực hiện khảo sát cần liên hệ Email: togiaoovu@bdu.edu.vn để được hỗ trợ kịp thời. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,doi_tuong,"Theo Thông báo TB_763, sinh viên sử dụng tài khoản nào để thực hiện khảo sát trên Cổng thông tin sinh viên?","Dựa theo Thông báo ban hành ngày 14/08/2023, sinh viên sử dụng tài khoản đăng ký môn học để đăng nhập vào Cổng thông tin sinh viên và thực hiện khảo sát. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,thoi_gian,"Theo Thông báo TB_763, thông báo khảo sát chất lượng đào tạo được ban hành bởi ai và vào thời gian nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, thông báo khảo sát chất lượng đào tạo được ban hành bởi Trường Đại học Bình Dương vào ngày 14/8/2023, ký bởi Phó Hiệu trưởng Thường trực – Đỗ Đoan Trang. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,dia_diem,"Theo Thông báo TB_763, hình thức khảo sát chất lượng đào tạo tại Trường Đại học Bình Dương được thực hiện thông qua nền tảng nào?","Dựa theo Thông báo ban hành ngày 14/08/2023, hình thức khảo sát được thực hiện online tại Cổng thông tin sinh viên của Trường Đại học Bình Dương, địa chỉ: sv.bdu.edu.vn. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,doi_tuong,"Theo Thông báo TB_763, sinh viên không thực hiện khảo sát có bị ảnh hưởng đến kết quả rèn luyện không?","Dựa theo Thông báo ban hành ngày 14/08/2023, có. Sinh viên không thực hiện khảo sát sẽ bị trừ điểm rèn luyện theo Quy định đánh giá kết quả rèn luyện sinh viên của Trường Đại học Bình Dương. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,dia_diem,"Theo Thông báo TB_763, trách nhiệm thông báo khảo sát này thuộc về đơn vị nào trong Trường Đại học Bình Dương?","Dựa theo Thông báo ban hành ngày 14/08/2023, Trường Đại học Bình Dương là đơn vị ban hành và chịu trách nhiệm tổ chức khảo sát theo đúng thời gian và đối tượng quy định. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_763,dia_diem,"Theo Thông báo TB_763, ai là người ký ban hành văn bản về khảo sát chất lượng đào tạo tại Trường Đại học Bình Dương?","Dựa theo Thông báo ban hành ngày 14/08/2023, người ký ban hành Thông báo số 763 là Phó Hiệu trưởng Thường trực – Đỗ Đoan Trang. (áp dụng từ 24/07/2023 đến 27/07/2023)",thong_bao,khao_sat
TB_494,dia_diem,Thông báo số 494/TB-ĐHBD được ban hành dựa trên quyết định nào của Trường Đại học Bình Dương?,Thông báo số 494/TB-ĐHBD được ban hành dựa trên Quyết định số 868/QĐ-ĐHBD ngày 20 tháng 5 năm 2024 của Hiệu trưởng Trường Đại học Bình Dương (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,thoi_gian,Mục đích chính của Thông báo số 494/TB-ĐHBD về rà soát tiến độ đăng ký môn học và tổ chức kế hoạch đào tạo học kỳ 1 năm học 2024-2025 là gì?,"Mục đích chính của Thông báo số 494/TB-ĐHBD là thu thập thông tin về quá trình đăng ký, tích lũy tín chỉ của sinh viên các khóa, điều chỉnh kế hoạch đào tạo kịp thời, đáp ứng nhu cầu học tập của người học và cải thiện thời gian tốt nghiệp(áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,"Theo Thông báo số 494/TB-ĐHBD, yêu cầu đầu tiên để đạt được mục tiêu rà soát là gì?","Yêu cầu đầu tiên là rà soát chi tiết từng ngành, từng trình độ đào tạo và từng người học để đảm bảo công tác hỗ trợ người học được thực hiện kịp thời (áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,thoi_gian,"Theo Thông báo số 494/TB-ĐHBD, kế hoạch đào tạo học kỳ 1 năm học 2024-2025 cần được bố trí như thế nào?",Kế hoạch đào tạo học kỳ 1 năm học 2024-2025 cần được bố trí đúng thời gian quy định (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,thoi_han_cuoi,Giai đoạn rà soát ban đầu theo Thông báo số 494/TB-ĐHBD (từ ngày 10/6 đến 24/6/2024) bao gồm những hoạt động gì?,"Giai đoạn rà soát ban đầu bao gồm rà soát tiến độ đăng ký môn học của các lớp, sinh viên, rà soát chương trình đào tạo, lập kế hoạch dự kiến các môn học thực tập, thực tế trong và ngoài trường (áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,"Trong giai đoạn rà soát ban đầu theo Thông báo số 494/TB-ĐHBD, đơn vị thực hiện cần dự trù những nội dung gì?","Đơn vị thực hiện cần dự kiến dự trù cơ sở vật chất, trang thiết bị phục vụ cho công tác giảng dạy và học tập (áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,Các hoạt động liên quan đến bố trí kế hoạch giảng dạy theo Thông báo số 494/TB-ĐHBD sau ngày 24/6/2024 là gì?,"Bao gồm việc bố trí thời khóa biểu dự kiến, mời giảng viên tham gia giảng dạy, gửi kế hoạch về Phòng QLĐT&CTSV, cập nhật dữ liệu lên phần mềm quản lý đào tạo và rà soát, hiệu chỉnh thời khóa biểu (nếu có), (áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,"Theo Thông báo số 494/TB-ĐHBD, giảng viên cần cập nhật dữ liệu gì vào phần mềm quản lý đào tạo?",Giảng viên cần cập nhật dữ liệu giảng viên và phương pháp tổ chức giảng dạy cho từng môn học trong học kỳ (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,doi_tuong,"Theo Thông báo số 494/TB-ĐHBD, việc tổ chức đăng ký môn học trực tuyến bắt đầu từ thời điểm nào?",Việc tổ chức đăng ký môn học trực tuyến bắt đầu từ ngày 22 tháng 7 năm 2024 tại Cổng thông tin sinh viên (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,doi_tuong,"Theo Thông báo số 494/TB-ĐHBD, sinh viên khóa tuyển sinh năm 2021 và năm 2022 được phép đăng ký tối đa và tối thiểu bao nhiêu tín chỉ?",Sinh viên khóa tuyển sinh năm 2021 trở về trước được phép đăng ký tối đa 25 tín chỉ và tối thiểu 10 tín chỉ; sinh viên khóa tuyển sinh năm 2022 trở đi được phép đăng ký tối đa 19 tín chỉ và tối thiểu 10 tín chỉ (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,thoi_gian,"Theo Thông báo số 494/TB-ĐHBD, sau giai đoạn đăng ký ban đầu, các hoạt động rà soát và đăng ký bổ sung môn học diễn ra trong khoảng thời gian nào?","Hoạt động rà soát, xử lý dữ liệu đăng ký môn học diễn ra từ ngày 26/7 đến 30/7/2024; đăng ký bổ sung diễn ra từ ngày 1/8 đến 2/8/2024; tiếp tục rà soát dữ liệu đăng ký bổ sung từ ngày 3/8 đến 7/8/2024.",thong_bao,dao_tao_tot_nghiep
TB_494,doi_tuong,"Theo Thông báo số 494/TB-ĐHBD, sinh viên có thể đăng ký bổ sung môn học bằng những hình thức nào?",Sinh viên có thể đăng ký bổ sung môn học trực tuyến tại Cổng thông tin sinh viên hoặc đăng ký bổ sung trực tiếp (offline) nếu có nguyện vọng (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,thoi_gian,Thời điểm sinh viên nộp học phí học kỳ 1 năm học 2024-2025 theo Thông báo số 494/TB-ĐHBD là khi nào?,Sinh viên nộp học phí học kỳ 1 từ ngày 19 tháng 8 năm 2024 đến ngày 9 tháng 9 năm 2024 (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,thoi_gian,"Theo Thông báo số 494/TB-ĐHBD, sinh viên khóa tuyển sinh năm 2024 có phải tự đăng ký môn học trong học kỳ đầu tiên không?",Không. Nhà trường sẽ thực hiện đăng ký môn học cho sinh viên khóa tuyển sinh năm 2024 trong học kỳ đầu tiên năm thứ nhất (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,"Theo Thông báo số 494/TB-ĐHBD, vai trò của các đơn vị đào tạo trong việc thực hiện kế hoạch là gì?",Các đơn vị đào tạo có trách nhiệm chủ động phối hợp với các đơn vị liên quan lên kế hoạch rà soát theo thời gian quy định (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,dia_diem,"Theo Thông báo số 494/TB-ĐHBD, trách nhiệm chính của Phòng QLĐT&CTSV trong quá trình thực hiện kế hoạch là gì?","Phòng QLĐT&CTSV chịu trách nhiệm tổng hợp thông tin phản hồi từ các đơn vị đào tạo và báo cáo Ban Giám hiệu về tình hình rà soát, thực hiện kế hoạch (áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,"Theo Thông báo số 494/TB-ĐHBD, nếu các đơn vị gặp khó khăn trong quá trình thực hiện thì cần xử lý như thế nào?","Các đơn vị cần trao đổi trực tiếp hoặc gửi văn bản về Phòng QLĐT&CTSV để tổng hợp và báo cáo Hiệu trưởng xem xét, quyết định (áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,thoi_gian,Lịch trình chi tiết thực hiện rà soát và tổ chức kế hoạch đào tạo học kỳ 1 năm học 2024-2025 theo Thông báo số 494/TB-ĐHBD diễn ra trong khoảng thời gian nào?,Lịch trình thực hiện kéo dài từ ngày 10 tháng 6 năm 2024 đến ngày 9 tháng 9 năm 2024 (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,Thông báo số 494/TB-ĐHBD nhấn mạnh những yếu tố nào để đảm bảo công tác đào tạo hiệu quả?,"Thông báo nhấn mạnh sự cần thiết của việc thu thập thông tin, điều chỉnh kế hoạch đào tạo theo nhu cầu người học, phối hợp chặt chẽ giữa các đơn vị liên quan và đảm bảo tiến độ đăng ký, học tập của sinh viên (áp dụng từ 10/6/2024 đến 09/9/2024).",thong_bao,dao_tao_tot_nghiep
TB_494,muc_dich,Ai là người ký ban hành Thông báo số 494/TB-ĐHBD?,Thông báo số 494/TB-ĐHBD được ký ban hành bởi Hiệu trưởng Trường Đại học Bình Dương – ông Cao Việt Hiếu (áp dụng từ 10/6/2024 đến 09/9/2024).,thong_bao,dao_tao_tot_nghiep
TB_48,thoi_gian,Thông báo số 48/TB-ĐHBD được ban hành vào ngày nào?,Thông báo số 48/TB-ĐHBD được ban hành vào ngày 08 tháng 02 năm 2024.,thong_bao,dao_tao_tot_nghiep
TB_48,tot_nghiep,Thông báo số 48/TB-ĐHBD về việc đăng ký dự Lễ tốt nghiệp năm 2023 - đợt 1 do cơ quan nào ban hành?,Thông báo số 48/TB-ĐHBD do Trường Đại học Bình Dương ban hành. (áp dụng từ 08/02/2023 đến 21/02/2023),thong_bao,dao_tao_tot_nghiep
